age,gender,race,experience_years,education,skills_score,interview_score,hired
52,Male,White,31,PhD,95,77,1
35,Male,Black,14,High School,71,78,0
27,Female,White,6,High School,95,73,1
33,Female,Black,11,PhD,72,39,0
37,Male,White,14,PhD,77,49,0
38,Male,White,23,Master,83,99,0
44,Male,Asian,25,Master,96,37,0
35,Female,White,15,High School,95,74,0
28,Male,Asian,6,Bachelor,90,63,1
53,Female,White,34,High School,98,80,1
36,Male,Black,15,High School,88,33,0
38,Female,Black,16,Master,73,68,1
55,Male,White,32,High School,50,53,0
26,Male,White,3,Bachelor,70,84,0
48,Male,White,16,PhD,57,55,0
44,Female,White,22,High School,62,54,0
35,Female,White,11,PhD,99,65,1
36,Male,Black,18,PhD,61,87,1
54,Female,Hispanic,32,Bachelor,82,41,0
52,Female,Asian,26,High School,57,30,0
56,Female,Asian,33,Bachelor,79,79,0
38,Male,Asian,12,Bachelor,86,54,0
49,Male,Black,28,Bachelor,80,34,0
40,Male,White,18,Bachelor,86,97,1
44,Female,Hispanic,24,PhD,78,35,1
53,Female,Black,28,High School,59,55,0
34,Female,Black,12,Master,52,84,0
41,Male,White,14,High School,84,68,0
56,Male,White,35,Bachelor,40,38,0
26,Female,White,5,Master,91,74,1
30,Female,Asian,9,Bachelor,43,43,0
50,Female,Black,28,High School,63,84,0
27,Female,White,6,Bachelor,75,38,0
46,Female,Hispanic,28,Master,75,44,1
52,Male,White,29,Bachelor,84,66,0
43,Male,White,21,Bachelor,41,79,0
23,Female,White,0,Bachelor,67,50,0
26,Female,Asian,1,PhD,65,86,1
48,Male,Hispanic,26,PhD,62,48,0
46,Male,White,27,Bachelor,54,87,0
29,Female,Asian,6,Master,75,35,0
22,Male,White,0,Bachelor,66,33,0
41,Male,Hispanic,17,Bachelor,45,72,0
44,Male,Asian,20,High School,74,71,0
53,Female,Asian,31,Bachelor,78,32,1
32,Female,White,5,Bachelor,77,30,0
45,Male,Hispanic,26,High School,74,84,1
32,Female,Asian,8,Bachelor,75,44,0
50,Male,White,30,Master,49,76,0
47,Male,Asian,21,Bachelor,69,75,1
37,Female,White,17,Bachelor,92,87,0
56,Female,Asian,35,Master,80,68,0
41,Female,White,20,High School,77,32,1
24,Female,Asian,0,Bachelor,68,59,0
22,Female,Black,0,Master,91,64,0
22,Male,White,0,Bachelor,98,86,0
38,Male,White,15,Bachelor,82,58,0
23,Male,White,4,High School,78,79,0
50,Male,White,30,Master,89,91,1
41,Female,White,19,Bachelor,43,81,0
27,Male,Black,2,Master,44,43,0
29,Female,White,8,Bachelor,43,64,0
50,Female,White,28,Bachelor,75,57,0
54,Female,Asian,25,Master,98,87,0
24,Male,White,4,Bachelor,84,59,0
56,Female,Hispanic,33,Bachelor,55,36,0
26,Male,Asian,7,Bachelor,64,68,0
48,Male,Black,22,Master,53,98,1
33,Female,Black,1,Bachelor,50,64,0
41,Male,Hispanic,19,Bachelor,68,81,1
41,Male,White,19,High School,73,43,1
30,Female,White,2,Master,61,92,0
25,Male,White,0,High School,53,65,0
40,Female,Asian,26,Bachelor,95,53,0
48,Female,White,25,Bachelor,63,69,0
34,Female,Black,14,Bachelor,98,58,0
34,Male,Hispanic,10,Bachelor,78,82,0
43,Male,Asian,14,High School,65,51,0
49,Female,Black,26,Bachelor,82,44,0
43,Male,White,20,Master,75,98,0
40,Female,Asian,16,Master,78,93,0
29,Female,Black,6,High School,55,33,0
29,Female,White,7,Master,97,47,0
47,Male,White,24,Bachelor,77,71,1
47,Male,Hispanic,21,Master,98,59,1
44,Female,Black,23,Bachelor,71,44,0
34,Male,Asian,6,Bachelor,45,99,0
49,Male,Asian,20,Master,73,84,0
30,Female,Black,10,Master,95,82,0
41,Female,White,20,Bachelor,47,45,0
40,Female,White,17,Bachelor,69,63,0
33,Female,White,6,Bachelor,66,56,0
36,Male,White,11,Bachelor,46,42,1
52,Female,Asian,29,Bachelor,66,56,0
35,Female,Black,8,Bachelor,64,98,0
32,Male,Hispanic,7,Master,95,60,0
47,Male,White,26,High School,85,32,1
48,Female,Black,30,Bachelor,80,59,0
32,Female,Black,8,High School,54,50,0
55,Female,Black,35,Bachelor,64,35,0
40,Female,Asian,12,High School,61,61,0
27,Male,White,6,Bachelor,57,71,0
49,Male,White,24,Master,51,91,1
22,Female,White,0,Master,62,61,0
56,Female,White,33,High School,90,68,1
29,Female,White,10,Bachelor,84,93,1
28,Female,Black,3,Bachelor,78,59,0
32,Male,Hispanic,11,Master,64,92,1
25,Male,Black,2,Master,49,60,0
46,Female,Asian,23,Bachelor,69,69,0
33,Female,White,10,Bachelor,49,62,0
47,Female,Black,22,Master,73,92,1
33,Female,White,10,High School,85,54,0
45,Female,White,22,Bachelor,52,65,1
37,Male,White,15,Master,93,53,0
34,Male,White,12,Master,68,87,0
46,Male,White,26,Bachelor,77,68,0
25,Female,White,5,Bachelor,80,75,0
32,Male,White,6,Bachelor,84,39,0
53,Male,Hispanic,33,Bachelor,48,61,0
28,Male,White,2,Bachelor,52,65,1
32,Male,White,11,Bachelor,76,57,1
49,Female,White,28,Master,53,45,0
44,Male,Black,16,Master,76,45,0
44,Male,White,22,High School,48,47,1
49,Female,White,25,Bachelor,47,37,0
47,Male,White,22,Bachelor,78,99,1
46,Male,White,28,Bachelor,79,30,0
50,Male,White,26,High School,93,91,1
40,Female,White,15,Bachelor,42,67,0
54,Male,White,32,Master,94,74,1
57,Female,White,35,Bachelor,95,87,1
35,Male,White,12,Master,86,30,0
35,Male,Asian,16,PhD,79,61,1
56,Male,Black,35,High School,72,37,0
51,Male,White,22,High School,71,69,1
49,Female,White,25,PhD,46,85,0
38,Female,Hispanic,14,PhD,58,92,1
24,Female,White,3,High School,73,65,0
37,Male,White,7,High School,53,86,0
51,Male,Black,35,High School,89,74,0
50,Female,White,29,PhD,86,31,0
36,Male,White,14,High School,85,97,1
46,Male,White,27,Bachelor,95,79,1
44,Male,Asian,29,Master,96,58,1
46,Male,White,26,High School,58,39,1
28,Female,Asian,8,Bachelor,90,56,0
43,Female,Hispanic,21,Bachelor,93,44,0
38,Female,White,15,Master,98,89,1
39,Male,White,15,Bachelor,65,60,0
31,Male,White,6,Bachelor,56,50,1
31,Male,White,6,Bachelor,93,89,0
28,Male,White,1,High School,67,87,0
48,Male,Hispanic,25,High School,58,70,0
54,Female,Asian,26,Bachelor,66,75,1
22,Female,Black,0,Bachelor,87,74,0
55,Male,White,32,Master,91,55,1
25,Female,Asian,3,Master,96,80,1
38,Female,Hispanic,14,Bachelor,58,65,0
25,Female,Asian,12,Bachelor,72,81,0
47,Female,White,29,Bachelor,90,80,0
25,Male,Black,0,Master,46,32,0
22,Male,White,0,Bachelor,68,43,0
28,Male,White,4,Bachelor,94,78,0
51,Female,White,25,Bachelor,82,30,1
30,Male,Black,3,Bachelor,44,86,0
56,Male,Black,35,Bachelor,69,46,0
29,Male,White,4,Bachelor,88,79,0
45,Male,White,25,High School,82,43,0
40,Female,White,20,Master,95,88,0
57,Female,White,35,High School,97,32,1
48,Male,White,23,High School,47,69,0
53,Male,White,32,Bachelor,81,95,1
35,Male,Asian,14,High School,51,63,0
39,Male,White,15,Bachelor,81,38,0
49,Male,White,24,Bachelor,52,50,0
50,Male,White,32,Bachelor,65,54,0
37,Male,Hispanic,15,Bachelor,57,73,0
56,Female,Black,35,High School,81,54,0
52,Female,Black,27,High School,90,38,0
25,Male,White,0,Master,91,91,0
38,Male,Black,14,Bachelor,88,55,1
47,Female,White,24,Bachelor,59,86,1
25,Male,Black,0,High School,55,66,0
51,Female,Hispanic,28,Bachelor,76,45,0
51,Female,Black,23,Bachelor,42,66,0
43,Male,Asian,17,Bachelor,66,53,0
32,Male,Asian,12,Master,54,55,0
23,Female,White,2,High School,97,49,0
33,Male,Hispanic,9,Bachelor,73,38,1
51,Female,White,25,Master,84,58,0
57,Female,Black,31,PhD,61,60,0
39,Female,White,15,High School,79,48,0
47,Male,White,26,Bachelor,62,49,0
28,Female,White,8,High School,98,56,0
22,Male,White,0,High School,88,73,1
47,Male,White,21,Bachelor,43,64,0
44,Female,Black,22,High School,90,51,1
47,Male,White,22,Master,93,44,1
27,Female,White,3,Bachelor,96,42,0
27,Female,Black,8,High School,80,33,0
29,Male,White,9,High School,62,85,1
45,Male,Asian,23,Master,86,52,0
43,Male,Black,17,High School,99,63,0
40,Male,Asian,18,Bachelor,48,46,1
39,Male,Black,20,Bachelor,63,57,0
52,Female,White,28,Bachelor,60,43,0
51,Male,Black,33,Bachelor,80,63,0
54,Male,White,35,High School,85,86,1
31,Female,White,13,High School,94,84,1
33,Male,Asian,11,High School,92,95,1
51,Female,White,30,Bachelor,55,66,1
48,Male,Asian,30,Bachelor,95,97,0
30,Male,Asian,9,Bachelor,94,55,0
42,Female,Asian,18,High School,64,90,0
33,Female,Hispanic,9,Bachelor,65,96,0
50,Female,White,28,Bachelor,88,81,1
54,Female,White,28,PhD,84,47,0
36,Female,Black,13,Bachelor,48,82,0
23,Male,White,4,Bachelor,54,92,1
39,Male,Black,10,Bachelor,78,82,1
24,Female,Asian,6,PhD,72,56,0
28,Female,Black,9,Master,40,60,0
39,Female,White,15,Bachelor,44,30,0
54,Male,White,33,High School,95,35,1
52,Male,White,30,Bachelor,48,40,1
32,Female,White,13,Bachelor,83,63,0
25,Male,Hispanic,5,Master,45,92,0
39,Female,White,12,Bachelor,67,82,1
25,Female,White,4,High School,84,47,0
55,Male,White,32,Master,65,50,0
50,Female,Black,28,Master,67,48,0
45,Female,Black,20,Bachelor,79,33,0
43,Male,White,26,Bachelor,54,58,0
23,Female,White,4,Bachelor,45,54,0
27,Male,White,2,Master,66,85,0
46,Female,White,19,Master,77,92,1
42,Male,Black,18,Bachelor,43,56,0
37,Female,Black,16,Bachelor,50,89,0
52,Male,White,30,Master,60,78,1
35,Male,White,16,Bachelor,69,94,0
49,Female,Hispanic,29,Bachelor,57,67,0
53,Male,White,33,Master,74,81,1
49,Male,Black,27,High School,42,30,0
30,Female,White,3,Bachelor,51,69,0
43,Female,White,20,Master,66,50,0
53,Female,White,34,Master,92,44,1
26,Female,White,3,Bachelor,69,79,0
44,Male,Hispanic,23,High School,60,77,0
26,Male,White,3,Bachelor,77,61,0
53,Male,White,27,Bachelor,60,78,0
31,Female,White,8,High School,99,97,0
36,Female,White,14,Master,77,74,0
28,Female,White,4,Bachelor,79,61,0
50,Female,White,27,Bachelor,54,33,0
24,Male,Asian,0,Bachelor,57,94,1
40,Male,White,21,PhD,91,94,0
31,Male,White,8,Bachelor,68,47,1
49,Male,Hispanic,31,High School,87,83,1
50,Male,White,32,High School,77,76,0
36,Female,Hispanic,13,Bachelor,99,35,0
56,Male,White,30,Bachelor,60,95,0
27,Male,Hispanic,0,Bachelor,56,38,1
33,Male,Black,6,Bachelor,80,97,1
34,Female,Asian,7,High School,90,52,1
50,Female,Hispanic,32,Bachelor,57,72,0
40,Male,White,18,Bachelor,96,80,1
24,Male,Hispanic,3,High School,94,54,1
29,Female,White,0,High School,76,64,1
29,Male,White,3,High School,99,46,0
41,Female,White,21,High School,77,47,0
25,Female,Black,3,Bachelor,51,56,0
42,Male,White,19,High School,50,44,0
24,Male,Black,3,Bachelor,87,98,1
29,Female,Black,11,High School,91,44,0
44,Male,Asian,21,PhD,88,71,0
37,Male,Asian,15,Master,59,63,0
34,Female,White,12,High School,48,77,0
24,Female,White,9,Bachelor,40,37,0
30,Female,White,1,High School,97,39,0
35,Female,White,15,Bachelor,42,34,0
34,Male,White,11,High School,60,77,0
28,Male,White,7,Bachelor,62,55,0
36,Female,White,12,Bachelor,48,52,0
28,Female,Hispanic,5,Master,93,91,0
55,Male,Black,35,High School,58,42,0
43,Female,White,30,Master,84,38,0
45,Male,Black,25,Master,94,49,1
22,Male,White,0,High School,85,86,1
31,Male,White,7,Bachelor,91,53,1
37,Male,Black,13,High School,58,62,1
29,Male,White,1,Bachelor,62,49,0
46,Male,White,23,Bachelor,66,89,0
33,Male,Hispanic,13,Bachelor,66,77,0
46,Female,Hispanic,20,Bachelor,78,93,0
38,Female,Black,19,PhD,75,59,0
47,Female,Black,26,High School,51,46,0
35,Female,Black,10,PhD,94,43,1
57,Male,White,34,High School,66,48,0
44,Male,White,26,Master,85,88,1
27,Female,White,7,Bachelor,73,96,0
26,Male,White,4,High School,72,73,1
46,Female,Black,23,Master,67,61,0
39,Male,White,17,Bachelor,70,40,0
34,Female,Hispanic,10,Bachelor,71,31,0
35,Male,Hispanic,6,Bachelor,89,97,0
49,Female,Asian,33,Bachelor,59,46,0
39,Male,Black,17,Bachelor,79,69,1
49,Female,Asian,28,Master,74,75,1
48,Male,White,25,High School,70,33,0
53,Female,Asian,28,Bachelor,97,67,1
30,Female,White,7,Master,70,92,0
53,Male,Asian,26,High School,77,58,0
41,Female,White,25,High School,61,48,0
49,Female,Asian,23,Master,84,58,1
54,Male,Hispanic,28,Bachelor,80,64,1
25,Female,White,1,Bachelor,48,99,0
55,Female,White,35,High School,91,52,0
24,Female,Hispanic,2,Bachelor,48,75,0
47,Male,White,21,High School,54,73,0
29,Male,Asian,10,Bachelor,52,77,1
27,Female,Black,7,Master,61,81,0
37,Female,White,16,Bachelor,55,37,0
45,Male,White,25,Bachelor,71,84,0
51,Female,White,35,PhD,41,95,0
34,Male,Asian,18,Bachelor,65,69,0
26,Male,White,1,Master,53,60,0
46,Male,White,28,Bachelor,98,77,1
41,Male,White,20,Master,77,90,1
39,Female,Black,18,High School,73,81,0
39,Male,Asian,11,High School,47,67,1
23,Female,Hispanic,0,High School,75,65,0
31,Female,White,6,Bachelor,60,84,1
33,Female,Asian,13,Master,95,42,1
34,Male,Asian,15,Bachelor,85,66,1
32,Male,Black,3,Bachelor,82,76,0
40,Female,Hispanic,17,Master,95,51,1
56,Female,White,35,Bachelor,67,68,1
47,Male,White,24,Bachelor,85,87,0
35,Female,Asian,15,Bachelor,83,59,0
45,Female,White,24,Bachelor,87,47,0
22,Female,Asian,1,High School,45,47,0
43,Female,Hispanic,20,PhD,59,68,0
44,Female,White,18,High School,70,55,0
40,Male,Hispanic,14,High School,72,36,0
39,Female,White,19,Master,83,98,1
33,Female,White,11,Bachelor,46,94,0
49,Male,Black,26,Bachelor,47,75,1
49,Male,Hispanic,25,Bachelor,48,47,0
54,Male,White,31,Bachelor,41,42,0
40,Female,White,21,Bachelor,56,54,0
49,Female,Black,25,Bachelor,91,37,1
47,Male,Asian,20,Bachelor,84,61,0
56,Female,Black,35,Master,76,46,0
55,Male,White,32,Bachelor,81,77,1
56,Female,White,34,PhD,83,92,1
37,Female,White,19,High School,56,69,1
34,Female,Asian,11,Bachelor,92,44,0
44,Male,White,22,Bachelor,77,35,0
43,Male,White,17,PhD,74,92,0
37,Male,Hispanic,14,High School,99,37,0
49,Male,White,28,Bachelor,86,61,1
56,Female,Hispanic,29,Master,78,74,0
29,Female,Black,7,High School,69,81,0
43,Female,Asian,21,Master,45,42,0
42,Female,White,20,High School,43,53,0
47,Female,White,28,Master,90,69,0
42,Female,Asian,21,PhD,76,43,1
46,Female,Asian,28,Bachelor,74,99,1
22,Female,Asian,0,Bachelor,97,91,0
27,Male,White,5,High School,96,90,1
44,Male,Asian,22,PhD,48,30,0
44,Male,Asian,18,Bachelor,45,95,1
44,Female,Black,24,High School,52,61,0
53,Female,Asian,35,Bachelor,98,42,0
51,Male,Asian,28,Bachelor,61,62,1
34,Female,Black,13,High School,67,61,0
39,Female,White,17,High School,69,85,0
44,Male,White,19,High School,91,53,0
36,Male,White,8,Bachelor,75,33,0
54,Female,White,29,Bachelor,41,52,1
42,Male,White,15,Bachelor,97,58,0
44,Female,White,27,Master,75,50,1
48,Male,White,25,Master,47,59,1
39,Female,White,15,Bachelor,84,49,1
45,Female,Asian,25,High School,81,45,0
28,Female,Hispanic,2,Bachelor,89,96,1
41,Female,White,16,Bachelor,48,78,0
48,Male,Hispanic,26,Bachelor,40,87,0
27,Male,Black,8,Bachelor,52,73,1
48,Male,White,27,Bachelor,89,54,1
30,Female,White,8,Master,54,52,0
52,Female,White,30,High School,71,88,0
42,Female,Asian,21,Bachelor,73,30,1
47,Male,Asian,25,High School,82,44,0
34,Male,White,8,PhD,70,81,1
44,Male,White,22,High School,53,87,1
41,Male,White,15,High School,93,70,0
49,Female,White,27,Bachelor,86,73,0
38,Male,White,14,Bachelor,53,33,1
49,Male,White,34,High School,87,97,0
23,Female,Asian,0,Bachelor,94,36,0
46,Male,Hispanic,19,Bachelor,68,75,1
27,Male,White,4,High School,86,38,1
32,Female,Hispanic,11,Bachelor,58,62,1
27,Male,White,10,Master,66,62,1
32,Female,White,8,Bachelor,48,33,0
35,Female,White,8,Master,76,94,0
23,Female,Black,3,Bachelor,76,63,0
24,Male,Hispanic,0,Bachelor,82,93,0
56,Female,Black,32,High School,67,54,0
54,Male,White,31,Bachelor,91,84,1
45,Male,Black,22,Master,96,38,0
40,Male,White,20,PhD,63,46,0
39,Female,Hispanic,14,Bachelor,67,50,0
45,Male,White,22,High School,75,89,1
56,Male,White,33,High School,91,42,1
22,Female,Black,0,Bachelor,57,32,0
57,Male,Black,35,Bachelor,64,97,1
46,Male,White,25,High School,74,33,1
55,Male,Black,35,PhD,43,36,0
46,Male,White,25,Bachelor,53,55,0
37,Male,Asian,16,Master,78,53,0
55,Male,Asian,28,Master,65,39,1
50,Female,Asian,28,Master,47,42,1
40,Male,Black,19,Bachelor,63,73,0
44,Male,Black,24,Bachelor,55,68,1
40,Female,White,15,Bachelor,59,48,1
46,Male,Asian,22,Bachelor,54,80,1
37,Female,White,13,Bachelor,46,48,0
30,Male,White,9,PhD,97,81,0
22,Male,White,3,Master,56,76,0
40,Male,White,16,Master,61,59,1
54,Male,Black,34,Master,61,75,1
55,Male,White,33,High School,93,50,1
37,Male,Asian,14,High School,51,77,0
39,Male,White,16,Bachelor,57,91,1
55,Male,White,35,Bachelor,95,87,1
46,Male,White,24,Master,85,47,0
27,Male,White,11,Bachelor,86,88,1
42,Male,White,17,Bachelor,54,77,0
27,Male,Asian,6,Bachelor,76,92,0
53,Female,White,29,High School,55,41,0
52,Male,Asian,27,Bachelor,44,63,1
31,Female,White,8,Master,41,90,1
51,Female,White,29,High School,91,82,1
39,Male,Asian,25,Bachelor,67,54,1
45,Female,White,22,Bachelor,96,91,0
30,Female,White,4,High School,80,33,0
52,Male,White,30,High School,93,42,0
36,Male,White,7,PhD,66,71,1
25,Female,Asian,2,Bachelor,70,78,1
30,Female,White,8,High School,80,85,1
30,Male,Asian,10,High School,75,76,0
47,Male,Hispanic,27,Bachelor,86,37,0
25,Male,White,1,Bachelor,82,84,0
38,Male,Hispanic,15,Bachelor,40,47,0
37,Female,White,12,High School,89,64,0
36,Male,Hispanic,10,Master,68,61,0
56,Male,White,34,Bachelor,40,53,1
26,Female,Black,0,Bachelor,47,36,0
26,Male,White,2,Bachelor,96,42,0
41,Male,White,16,Bachelor,55,98,0
36,Female,Black,15,Master,97,71,1
39,Female,Asian,22,PhD,67,60,0
23,Male,White,0,Bachelor,61,55,1
50,Male,White,22,Master,57,61,1
34,Male,Asian,11,Master,61,81,0
25,Male,Black,3,PhD,80,49,0
31,Male,Hispanic,9,High School,51,69,0
52,Male,Asian,28,Bachelor,58,88,0
29,Male,Hispanic,6,Bachelor,64,43,1
24,Male,Asian,3,Master,89,73,1
30,Male,White,11,High School,98,77,0
51,Male,White,23,Bachelor,44,72,1
32,Male,Asian,8,Bachelor,98,45,0
56,Male,Black,34,Bachelor,73,64,1
34,Male,White,9,Bachelor,78,82,1
57,Female,White,35,Master,98,63,0
34,Female,Hispanic,10,Bachelor,49,32,0
33,Female,White,10,Master,86,97,0
31,Female,White,10,Bachelor,96,34,0
30,Male,White,6,Bachelor,46,39,0
28,Male,White,0,Bachelor,99,81,0
23,Male,White,0,High School,76,58,1
44,Female,White,25,Bachelor,86,60,0
42,Female,White,18,Bachelor,91,95,1
44,Male,Asian,19,Bachelor,99,98,1
50,Male,White,30,Master,91,66,0
35,Male,Asian,12,Bachelor,54,56,0
47,Male,Asian,23,High School,81,62,1
26,Female,White,4,High School,63,97,0
52,Female,Black,32,Bachelor,65,88,0
46,Male,White,31,Bachelor,65,93,1
52,Female,Hispanic,32,High School,85,73,1
41,Female,White,22,Bachelor,65,78,0
38,Male,Black,14,Bachelor,97,82,1
23,Male,Black,0,Bachelor,49,78,1
46,Male,White,24,Master,56,95,0
34,Male,White,12,Bachelor,92,92,1
49,Male,Black,23,Bachelor,53,54,0
27,Male,Asian,4,Master,41,33,0
24,Male,White,3,Bachelor,87,80,0
56,Male,Black,35,Bachelor,52,40,0
39,Female,White,18,Bachelor,66,46,0
32,Male,Asian,10,High School,48,95,1
41,Male,White,17,Bachelor,46,99,1
26,Male,Hispanic,2,Bachelor,87,98,0
40,Female,White,14,PhD,49,58,1
43,Male,White,26,Master,95,49,1
40,Male,White,18,Bachelor,93,56,0
37,Female,White,14,Bachelor,48,37,0
